评论ID,昵称,用户ID,用户sec_id,头像,地区,时间,评论,点赞数,回复数,回复给用户,回复给用户ID,是否置顶,是否热评,包含话题,提及用户
7507653481228075788,LUCK（解压食记）,3798186297661322,MS4wLjABAAAAhmOuD6-uWnvcn6oRbHa8NKRUJF__NdPDginIxYKwW7efMtdAlg0IkBeVpKsA3dfO,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_19ae47614ad1ea84205b4f9446a250d3.jpeg?from=2064092626,广东,2025-05-23 22:50:00,雷总你把头像把成这个，我买10辆,240,49,,,否,否,,
7507664919627662121,温柔,96357929612,MS4wLjABAAAAq03QBbhYNNBQfIRYLPy3m-CxlJexMOE_k3EE1h_VubE,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oE5meaBHAAAOA9rpgI8oSoCnHbXofIdDAACCTQ.jpeg?from=2064092626,福建,2025-05-24 00:05:21,要想让这款u热火，搭载这款cpu的手机开放root权限就是最好的路,0,0,,,否,否,,
7506483467308991290,小罗罗,1041991924452430,MS4wLjABAAAAYT4SFMQnzUiCy_-0N8Yl58HRLTfHUfFA88g2wq95HYd4gF9hsw9EMfjd8rlFs_1R,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_e2774d94b419443dbd92a31b11232b0f.jpeg?from=2064092626,重庆,2025-05-20 19:09:40,雷总，我女儿和你一天生日，目标大学武汉大学！我希望我女儿像你一样幸运[比心],29492,775,,,否,否,,
7506489038375912250,胖胖的瘦子A,62657988556,MS4wLjABAAAA1VLsgI4LPOjg_fYDHlF5DfDxPxMAzHgNdjb_5O3YYb8,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_46f3d3b12c9e74996fac759285ed4810.jpeg?from=2064092626,山东,2025-05-20 19:31:16,以后不准跟我们冷暴力了啊,51405,565,,,否,否,,
7506482138801226522,迷路的旺仔,81924511976,MS4wLjABAAAAJmDSj5YI7AEl3hepgkNBwaCMhDzDm-9M9yodQefHbfE,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_00d105df8e1545078b0450c99f6f5d99.jpeg?from=2064092626,湖北,2025-05-20 19:21:36,雷总你终于回来了，你知道我有多想你吗 [流泪]  [流泪],1734,14,,,否,否,,
7507670325846393639,凉夜听风/自律,4032664197929355,MS4wLjABAAAAhJE1pcmIqOiCWkfVIY0igBh4iwHMqn3_q_ocA5OVHahwc8uAIcObox0jT4RIobeq,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_ogC79ADVvF1fVARWfjVoCAQEAs5FIAmlAQgAVT.jpeg?from=2064092626,甘肃,2025-05-23 23:55:28,"全网最成功的几位博主
1、湖远行（2534万粉丝）
2、雷军（4562万粉丝）
3、董宇辉（2731万粉丝）
4、我    (59 .79 万粉丝）",2,0,,,否,否,,
7506480179830293275,赶路人,83246963821,MS4wLjABAAAA4SBS2nwK5tgy3D1UdDCm8BCFLSd-XAymBVVcNcQig2w,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_o01AcLr7Ar5BVlGQ7n3EBef1zIIsEALUAAAKeG.jpeg?from=2064092626,广东,2025-05-20 18:56:57,雷总超级期待新产品 必须买15sPro,1716,145,,,否,否,,
7507653011641238331,椰果冻,2955956893538686,MS4wLjABAAAAcUlfUsoimmFwlQ6M0ZRa5YA_k7K11iTX411rfWWKtkkM-kfKD4i_RrMkzaErK5u_,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c000-ce_oYARAfclDEDnFAeAmUELCYEi1EeIXjpwsZ9u4A.jpeg?from=2064092626,安徽,2025-05-23 22:48:05,爸，不许和我们冷战了[酷拽]一个月没理我们了[流泪],15,2,,,否,否,,
7506483045878727461,在下方何,3369368544881071,MS4wLjABAAAAoaFVNHMv2W9k6GlhkGEr1jBlVkfOZEUbazU6fjL5EqINaMM3SVYokjdyvEzc8yiy,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_o4AEEkmfADxVZD4XGgFBgRIE9AzYAqGfAACnA8.jpeg?from=2064092626,广东,2025-05-20 19:35:51,爸：吃了吗,1065,118,,,否,否,,
7506541873923769142,冬雨,98699399279,MS4wLjABAAAAFowAYqjTcYdDE8ILI3G4EptJlR9ZkUEe2-DEUU00z-U,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_b687e66f31a44bb7b4c1e2840959ce74.jpeg?from=2064092626,云南,2025-05-20 22:56:23,兄弟们，今天刚领证[嘿哈]，想要雷总祝福,2072,175,,,否,否,,
