评论ID,昵称,用户ID,用户sec_id,头像,地区,时间,评论,点赞数,回复数,回复给用户,回复给用户ID,是否置顶,是否热评,包含话题,提及用户
7480504382863131449,Death  Pledge,1324268009029820,MS4wLjABAAAAd1aGo9eKHVo5dEgquVOLc5TJmlpOlC0cWeOvkCWLPG-n7UGr1AyoiA1IxuLO-KAr,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_ooASXV5PDICmF9z5AfFAN49uICfBmAAEEdgnAv.jpeg?from=2956013662,重庆,2025-03-11 18:57:34,我对零食没有欲望，对衣服也没有，有几套换洗就行，他总说我要对自己好一点，可我真的不是舍不得，是没想法[泣不成声],0,0,,,否,否,,
7480444255766872882,A幸运女神,75123800830,MS4wLjABAAAAistvTzpXvrB-xPm-vDNJvqvh5ESn9p-z6acyG2OuIDA,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_o0AuBA4vsgvPP20i5KjJJHIZBAIZwiJmLA6AE.jpeg?from=2956013662,广东,2025-03-11 15:04:22,我喜欢买衣服，大部分都没穿过，衣柜装不下了拿去做猫窝[泪奔],2,0,,,否,否,,
7480482891806409498,一颗会飞的野🐒（金丝猴）,3500440685914990,MS4wLjABAAAAzqS5OlBkL6G5Nnqbt2WYpGWfG72d515Z-2qzv2EM-sETyoUdYeq1MVG2DFs0T4wk,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oM6ggHMHATkAZGDyeAACAAoNghIoEAfDACAwNz.jpeg?from=2956013662,四川,2025-03-11 17:34:10,我也爱屯吃的，但是坚持不了半天哈[流泪],2,0,,,否,否,,
7480358874639270683,饼干小姐🍪,87973149204,MS4wLjABAAAAXLr7ZdeYxTz_RAEKT0ETxTVEg116j7Btf8CB78GWMuo,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_72cebd738cfa407cd711d674965eda3f.jpeg?from=2956013662,海南,2025-03-11 09:33:02,要不你给我邮点 邮费我自付 不然太可惜了[捂脸],0,0,,,否,否,,
7480428641294320422,南瓜粥🎃,72170869407,MS4wLjABAAAAjur4EXHAGhtWMSXiXJXUJru-qax6QGIiSnwRuij1Fk4,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_03c5b229c3850bd5dadb37f00256cadd.jpeg?from=2956013662,山西,2025-03-11 14:03:40,我喜欢买吃的喝的，买了又不吃，都放坏扔了[捂脸]我老公老骂我，每次舍不得买东西的时候都说你扔的都不止这些[捂脸],1,0,,,否,否,,
7480428415381734159,悲伤小丸子,2199450110409800,MS4wLjABAAAA-L4GJp5YINuCEemBb90-AA6SY4P7AkqUDJY_fb-8OCxfjG65uF3wPBGO_cPopEdX,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_d29b8f16baedd10e01b8ff7b6421ceca.jpeg?from=2956013662,四川,2025-03-11 14:02:53,囤假睫毛谁懂[泪奔],0,0,,,否,否,,
7480538950931694399,😐哦哦,102686406537,MS4wLjABAAAAG6gp5zhBLzAyd9ktNFdoI-4ABr6eDYUL-G-BSCafpUg,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_87b8b71688da40e8aecbfd260ddee737.jpeg?from=2956013662,广东,2025-03-11 21:11:42,为啥呀很浪费,0,1,,,否,否,,
7480500946432230163,挽池聆,75265806195,MS4wLjABAAAAsmbWbnYKwcSYvoYgZSxyQsGwP_WALzawR24LOT20qA4,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_32881aec4b8d0a7ff238c3564216c19e.jpeg?from=2956013662,辽宁,2025-03-11 18:44:16,买好多双可爱的袜子，但是我从来不穿，只穿最简单最便宜的[黑脸],1,0,,,否,否,,
7480556326281167651,为为仔,2485353007035944,MS4wLjABAAAAzP2tZCHAqIT_psjB8fNyUuMhxM1wZjz0XnN5tGPAG9qbGM1RHoxqscCl51tz2YJC,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oEviZAAIBziAAvCLA4PEIhYuwXwR6RqZk3ogG.jpeg?from=2956013662,广东,2025-03-11 22:19:10,我也是，其实货到了就不想吃了，但是本着不浪费的原则，我还是会吃掉，但很长一段时间就不想看到那些了[泣不成声],0,0,,,否,否,,
7480373749487125283,不换,92520184844,MS4wLjABAAAAWPUHzT09_cpWzMHhAmABEhBWjZqZj03j0nR90aZoVSw,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_oAfQA8TI5sAeBCOo4Lv3BYIAOG3LeuAR7AEFBa.jpeg?from=2956013662,海南,2025-03-11 10:30:47,过期之前喊我去你家可以吗,0,0,,,否,否,,
7480503513798984507,落玖🍀,1244284167390087,MS4wLjABAAAA0Is4jf2XLhojyVVSebql8qFy3IRlv4by8juDv8brcg9_cwLJb05gl37bbycjCQvR,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oAGGEQfHARNw8BMpAAzAIIFLe1zgJCAAAJhUt4.jpeg?from=2956013662,广东,2025-03-11 18:54:12,我也是，买回来不吃，放着，过期了扔了继续买，看着很想吃，买回来又不想吃了,0,0,,,否,否,,
7480424251221263161,🍭财女💰,99098589030,MS4wLjABAAAAgDsAJMpEhHvRj4Hk9mp9egmWsS9qTqdj_DK2lpe1pi8,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c000-ce_o4dtLzANEikKsNAEexnA3BdEtIOAepAfwAkiC9.jpeg?from=2956013662,河南,2025-03-11 13:46:36,看评论区我还是因为没钱能控制住的，毕竟我喜欢买的东西又用不上的基本也不会超过十个，比如镯子，包包，,0,0,,,否,否,,
7480372924148581147,天降富贵～🥝,101560774158,MS4wLjABAAAAwCPd8H77WDH8lVl5MlXHY0Xc4QExv7750N-Ld8PgLiM,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_o8glVvAPE1imQzaAgAqaiIijBIAIWpCABIZmd.jpeg?from=2956013662,湖北,2025-03-11 10:27:31,囤不住，家里三口人，三吃货,0,0,,,否,否,,
