评论ID,昵称,用户ID,用户sec_id,头像,地区,时间,评论,点赞数,回复数,回复给用户,回复给用户ID,是否置顶,是否热评,包含话题,提及用户
7477344034236744506,wiger,4035661053320355,MS4wLjABAAAAcqHOnK_5wjMs16xb_Obj6m44cUvDTLjQ-A5b5ym_tkbKOhDnrkVa_EEy7N_fRWhn,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_b6f0a6c5b78524687f3a6bc13f4868ce.jpeg?from=2956013662,海南,2025-03-03 06:33:54,啊肯～～啦～味有～～因啦哒～～～～～～,54,2,,,否,否,,
7474985041774740224,Smile✨,2434777728693595,MS4wLjABAAAA6INhLOisU25Vf7xOpkcQ1zxCh_iP3ier7ZB98iHg2dn4mBesdV8lWBNiaUcv3YMG,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_oUAfxCuAfAAZ5AfmAYfzfffM99DCegAWxzxCA5m.jpeg?from=2956013662,湖北,2025-02-24 21:59:46,这斑驳的阳光,41,5,,,否,否,,
7479803705534513977,我的猫爱我,99240906691,MS4wLjABAAAARH8JAT0jgYeiUph6tVOFLiqmEFlidOIRAXuyShpombI,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_c0aeb4cefd73522b9503e444d3bdf4f4.jpeg?from=2956013662,广东,2025-03-09 21:38:33,喜欢一个人真的是错的吗本以为你是救赎结果是又一堂课…,2,0,,,否,否,,
7474571603243975459,弈云°,69716864672,MS4wLjABAAAACGqeThd4_kqMjzon4m1gJwQ4EF6x2xLb4CP7xXnNbcI,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_02a84df817074d32a43ae2aae5f372d8.jpeg?from=2956013662,山西,2025-02-23 19:15:24,这拍的都是些什么，大家是喜欢这种氛围感吗,57,11,,,否,否,,
7479843379423216444,All Too Well,2887789186675608,MS4wLjABAAAA-rH9k2wpQ25oAfd1QWleKsoFSw8-wr4BQOpHdbhgxFyrIVOl8psl5VMj1i873BuL,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c000-ce_o42bErEPJgAIKC7fAIgieAfANFlGGLdR382ubB.jpeg?from=2956013662,四川,2025-03-10 00:12:36,这个翻唱真的难听到爆 真的是毁原曲[尬笑][尬笑],0,0,,,否,否,,
7477807061649769257,LZ。,2515272061424743,MS4wLjABAAAAspE96qd_nu4YjIIHyw9LOWvcEW8zoGLl27dIZ1OLPycsTlkfHajUbj-zVhujPgpG,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c000-ce_owBy9KgiAB9n9AZEAA5U7IQLviiAP8x2hW3qM.jpeg?from=2956013662,广东,2025-03-04 13:05:13,这是用什么拍的,1,0,,,否,否,,
7477431348878492475,🌈用户1871947137,996609588215115,MS4wLjABAAAAL1oMm7XGlwjRrELWPo2zJwYi2EWaqRYRYmOM7IJuOIs,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c000-ce_oAPiJAZYKuSAMpVRkwEAhIP3AA5himBBG5nkI.jpeg?from=2956013662,广东,2025-03-03 12:12:37,建议你们多和别人互动，在别人的评下回复，家人们是真的，我不嫌烦，在我下面回复吧！我不是机器人,0,0,,,否,否,,
7477024390179357440,唯美摄影ss,2425970978720244,MS4wLjABAAAAd2P1IQOQhSW37w3Si5BII9KU4YVNbp2x-Txw4l7ZNacGuIJbdIODQu6q1FWZEkFG,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_oIscXAvA9ItA7CyffCEAsADnAbgFEA8JCghumr.jpeg?from=2956013662,广东,2025-03-02 09:53:30,相信我 纽约没这么好看 就是图片渲染了。。。。,14,1,,,否,否,,
7477737870271759141,大kk,75164134271,MS4wLjABAAAA0QYAsqJcSrt9p4d55PCPg8omYHWaitnSs8MA38GmzU0,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/mosaic-legacy_2d4d500071f23b2befcf9.jpeg?from=2956013662,加拿大,2025-03-04 08:02:09,这好像gastown里面，是那里吗？,0,0,,,否,否,,
7478112176554853172,么凹猫哇！(ChiYue),528221830392424,MS4wLjABAAAAjlY3YrMgaI3dv6v2cfFmt8rdBCZQosDrgyWsTVzmbWU,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_f912ba121c5cb28c5c30c23c6fd419c7.jpeg?from=2956013662,贵州,2025-03-05 08:14:42,可以用吗,0,0,,,否,否,,
7478490309752963849,晚风.📷,1528784442103881,MS4wLjABAAAAnWjpmUNVs4kOHBr5cSdknJeTiM7-ddedJwmu_QQm6sXQrXfkJhmNX_y8e_aLTlLV,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oAspXFXAEQFIg2vdd7fnwAmA9A73nDC2AAe8CG.jpeg?from=2956013662,内蒙古,2025-03-06 08:42:00,鑒定一點 走向我 不會輸的 .,2,0,,,否,否,,
7474866697871409947,Michael.ming,68582728278266,MS4wLjABAAAA5hwaAVkpwCTr61SMiwVgdPafbfa4WMT6UlK9VJNqIGs,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_f1f91031334284a306115bd0064631b9.jpeg?from=2956013662,北京,2025-02-24 14:20:31,这是温哥华的gastown么[流泪],9,2,,,否,否,,
7478374994364957497,YiiOuO,51767191116,MS4wLjABAAAAE6k4W82nuqsawD0pYUhQeeSfhM7xYcbZFOyPsTgTNGM,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c000-ce_ocA1h2AUABiCEgvAvPtnDEiGI7Lv8ZDjAbBMa.jpeg?from=2956013662,重庆,2025-03-06 01:14:35,誓言生锈  我们分别,0,0,,,否,否,,
7480016560158262050,千筑日,2852590817127464,MS4wLjABAAAAb0YHMbVANXptNsBSVDnSXPLRDrZgcvUik9YbQjBqPW0BMuZj4YOq_CUxX25YznI8,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_osxAAmnQgJODlCLeg0DbHfENFAA9CAU3R0aoAI.jpeg?from=2956013662,安徽,2025-03-10 11:24:38,@顾狸 中午啦，吃的饱饱的，再打游戏哦，要是打不赢，生气了会低血糖,0,0,,,否,否,,100027491209
7475263076678861618,我不想上学,4378718449711824,MS4wLjABAAAA4oAFPpCJMiY9bFsASP1RGepnco8WnNsqHMENPGzEDjxn7SgoMybiGIlF6Tc_WHEx,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_ogf09GQAAACiAjgo3mBZNzIK3EA5EXekqiQACD.jpeg?from=2956013662,江苏,2025-02-25 15:58:38,现在还有新号吗[送心],18,8,,,否,否,,
7476872975741895459,小刘,67819034957,MS4wLjABAAAAXlZBXvspCDvTjNoRWO82lkWYhPi5-C5-XWW7Mc2YVB4,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_1f2e7296f7a26fa1ec408317bda80c01.jpeg?from=2956013662,广东,2025-03-02 01:05:00,这是游戏吗？,0,0,,,否,否,,
7475022833921245963,一罐奶糖,3811343821442016,MS4wLjABAAAA6et_v9ClD9PDLhyr2sPEHrdJZQwR97Z5OiO9whjibr7bnhNBST5Ok3Br4ifH7Aid,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_o0CqESqBIvAKOi4gAItCqACAZAPO463rzigal.jpeg?from=2956013662,广东,2025-02-25 00:26:33,真诚能换来真诚吗？,4,2,,,否,否,,
7474562064029238026,喜欢麦芽雪冷萃👠,60013301858,MS4wLjABAAAAZIn9J_Mgh2Mktxv9KVKqH55hdS3xyFruki6zlqcq00U,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_626bda9543f122ea896fcb9cae4ee5a1.jpeg?from=2956013662,新加坡,2025-02-23 18:38:22,昨晚崩溃了，今天还在劝自己…,47,6,,,否,否,,
