评论ID,昵称,用户ID,用户sec_id,头像,地区,时间,评论,点赞数,回复数,回复给用户,回复给用户ID,是否置顶,是否热评,包含话题,提及用户
7506489038375912250,胖胖的瘦子A,62657988556,MS4wLjABAAAA1VLsgI4LPOjg_fYDHlF5DfDxPxMAzHgNdjb_5O3YYb8,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_46f3d3b12c9e74996fac759285ed4810.jpeg?from=2064092626,山东,2025-05-20 19:31:16,以后不准跟我们冷暴力了啊,51533,568,,,否,否,,
7506483467308991290,小罗罗,1041991924452430,MS4wLjABAAAAYT4SFMQnzUiCy_-0N8Yl58HRLTfHUfFA88g2wq95HYd4gF9hsw9EMfjd8rlFs_1R,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_e2774d94b419443dbd92a31b11232b0f.jpeg?from=2064092626,重庆,2025-05-20 19:09:40,雷总，我女儿和你一天生日，目标大学武汉大学！我希望我女儿像你一样幸运[比心],29590,775,,,否,否,,
7506755771851391803,昏君不吃鱼,3019677097539415,MS4wLjABAAAASAtgMxIM7KeG8dKvLaRANhrIjwez7Vdo2L-hdAOgkNzNiL7p1X5KEp91Jx756fsK,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/douyin-user-image-file_85ab3a39770bf1d23b032e7abb2d0682.jpeg?from=2064092626,北京,2025-05-21 12:46:21,您好，雷总，我们是从西安到北京度蜜月的小米 su7 车主，我本人也是红米 turbo 4 pro 手机用户， 我和我的妻子很早之前就已经确定今天到北京了，没想到刚好遇到了明天是发布会，能不能让我们近距离的参加一下发布会🎉('ω')🎉感谢🙏,403,42,,,否,否,,
7506480179830293275,赶路人,83246963821,MS4wLjABAAAA4SBS2nwK5tgy3D1UdDCm8BCFLSd-XAymBVVcNcQig2w,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_o01AcLr7Ar5BVlGQ7n3EBef1zIIsEALUAAAKeG.jpeg?from=2064092626,广东,2025-05-20 18:56:57,雷总超级期待新产品 必须买15sPro,1735,145,,,否,否,,
7506492129842217768,青禾,64301672255,MS4wLjABAAAAgEDqvTfEbI8noWC1J2SkJvWiwb_iKl_RBUCErHhyiiw,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oEcAyiAsigXDzPy9BIhpZj1iEA7A4Oz3PgIAP.jpeg?from=2064092626,河南,2025-05-20 19:58:04,冷战结束，雷总回来啦,1001,8,,,否,否,,
7507656153338692391,伟生:岑[cen],96002475445,MS4wLjABAAAASzg3Wj2ivLtKqgQ6CgKYkUDM8-Q6svmJOVvC8_VtTD8,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_3c7e31f803801e7ba6daf8ee13ed8d71.jpeg?from=2064092626,广东,2025-05-23 23:00:20,小米芯片牛逼[捂脸],9,0,,,否,否,,
7506486944446300979,卢伟冰,2544737774480633,MS4wLjABAAAAeeGpeTBNIRe66uQLgsFZmiRXR4GEQnh6FCtORpNOjXMPVjYqkmDeDtYhzBirNj_k,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oIz1AhKAFIA5LfdA1CctDn9p3bAaCegjPyE4AA.jpeg?from=2064092626,北京,2025-05-20 19:23:13,5月22日，发布会见！[爱心],2282,143,,,否,否,,
7506890136362369849,帽子掉了囖,2634020313116317,MS4wLjABAAAA83Davw1de5aRD3LiEOpk31MyVDWLrgpB6L5Ow979EklND6pUVdVGppOiWMspKBHc,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_osPoDAPI2ICepfGIBAAgbQAHIAwbRfGcCNeCLI.jpeg?from=2064092626,福建,2025-05-21 21:27:44,"雷总，你好，我一直是小米粉丝，16左右就一直用小米，今年3月20号呢我买了小米15pro，直到上周天早上8.40开车出车库的时候，我用手机打开carlife后连接，结果小米15pro页面卡死，而后我去网上查结果发现这个bug目前仅我这台出现，我就去找客服，客服协调后让我去小米之家检查，检查如果有硬件问题就换机，

但是都已经恢复了，能测出啥来？日志日志不看，视频视频不看，什么工作态度？我已经录制了视频也把日志导出反馈了，但测试也只是测一测我的手机硬件问题，最后报告出来啥事没有，

那会出地库卡死的50分钟，我也有很重要的事情啊，本来9给学生上课，硬生生被推迟，手机使用不了，车库缴费出不去，打车用不了，很难受啊，和客服协商后还好些，但现在啥也不解决，我就很无语了，我需要的是解决方案，而不是一味的不好意思
一直卡在os启动界面[流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪]，没解决，没下文，好伤心[流泪][流泪][流泪][流泪][流泪][流泪][流泪]@雷军 @雷军小米记事录",92,27,,,否,否,,"104815668206,3094492413967114"
7507536897355399948,心想事成。,75989719933,MS4wLjABAAAAsQTLpo_8onSZljE6vyzCZVWyC5bhv_JrW5xWCJ-gW0A,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_okDwAEkAVQiKpFGArDMfBuYtfnA4C9gDToIcAA.jpeg?from=2064092626,广东,2025-05-23 15:17:34,湖北的是谁,15,7,,,否,否,,
7507653481228075788,LUCK（解压食记）,3798186297661322,MS4wLjABAAAAhmOuD6-uWnvcn6oRbHa8NKRUJF__NdPDginIxYKwW7efMtdAlg0IkBeVpKsA3dfO,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_19ae47614ad1ea84205b4f9446a250d3.jpeg?from=2064092626,广东,2025-05-23 22:50:00,雷总你把头像把成这个，我买10辆,261,55,,,否,否,,
